node_x_m,head_pressurized_m
0,9.8890
20,9.8330
40,9.7769
60,9.7209
80,9.6648
100,9.6088
115,9.5668
130,9.5247
150,9.4687
170,9.4126
190,9.3566
210,9.3006
230,9.2445
250,9.1885
270,9.1324
290,9.0764
310,9.0203
330,8.9643
345,8.9223
360,8.8802
380,8.8242
400,8.7681
420,8.7121
440,8.6560
460,8.6000
